%Set of all the words. We don't separate training for testing here since we use fold evaluation 10 levels. Generated by p2.cpp
@relation whole_set_p2
@attribute c1 {yes,no}
@attribute c2 {yes,no}
@attribute c3 {yes,no}
@attribute c4 {yes,no}
@attribute c5 {yes,no}
@attribute c6 {yes,no}
@attribute c7 {yes,no}
@attribute c9 {yes,no}
@attribute w_length integer
@attribute difficult {yes,no}
@data
no, no, no, no, no, no, no, no, 7, yes
no, no, no, no, no, no, no, no, 12, yes
no, no, no, no, no, no, no, no, 11, yes
no, no, no, no, no, no, no, no, 8, yes
no, no, no, no, no, no, no, no, 5, yes
no, no, no, no, no, no, no, no, 7, yes
no, no, no, no, no, no, no, no, 7, yes
no, no, no, no, no, no, yes, no, 15, yes
no, no, no, no, no, no, no, no, 9, yes
no, no, no, no, no, no, no, no, 6, yes
no, no, no, no, no, no, no, no, 7, yes
no, no, no, no, no, no, no, no, 8, yes
no, no, no, no, no, yes, no, no, 11, yes
no, no, no, no, no, yes, no, no, 11, yes
no, no, no, no, no, yes, no, no, 11, yes
no, no, no, no, no, yes, no, no, 11, yes
no, no, no, no, no, yes, no, no, 11, yes
no, no, no, no, no, yes, no, no, 11, yes
no, no, no, no, no, yes, no, no, 11, yes
no, no, no, no, no, no, no, yes, 11, yes
no, no, no, no, no, no, no, no, 8, yes
no, no, no, no, no, no, no, no, 10, yes
no, no, no, no, no, no, no, no, 9, yes
no, no, no, no, no, no, no, no, 4, yes
no, no, no, no, no, no, no, no, 7, yes
no, no, no, no, no, no, no, no, 8, yes
no, no, no, no, no, no, no, no, 4, yes
no, no, no, no, no, no, no, no, 4, yes
yes, no, no, no, no, no, no, no, 6, yes
yes, no, no, no, no, no, no, no, 6, yes
no, no, yes, no, no, no, no, no, 5, yes
no, no, yes, no, no, no, no, no, 5, yes
no, no, yes, no, no, no, no, no, 4, yes
no, no, no, no, no, no, no, no, 3, yes
no, no, no, no, no, no, no, no, 4, yes
no, no, no, no, no, no, no, no, 4, yes
no, no, no, no, no, no, no, no, 3, yes
no, no, no, no, no, no, no, no, 11, yes
no, no, no, no, no, no, no, no, 11, yes
no, no, yes, no, no, no, no, no, 4, yes
no, no, yes, no, no, no, no, no, 4, yes
no, no, no, no, no, no, no, no, 6, yes
no, no, no, no, no, no, no, no, 6, yes
no, no, no, no, no, no, no, no, 4, yes
no, no, no, no, no, no, no, no, 4, yes
no, no, no, no, no, no, no, no, 6, yes
yes, no, no, no, no, no, no, no, 8, yes
yes, no, no, no, no, no, no, no, 8, yes
yes, no, no, no, no, no, no, no, 8, yes
no, no, no, no, no, no, no, no, 6, yes
no, no, no, no, no, no, no, no, 6, yes
no, no, no, no, yes, no, no, no, 7, yes
no, no, no, no, yes, no, no, no, 7, yes
no, no, no, no, no, no, no, no, 5, yes
no, no, no, no, no, no, no, no, 5, yes
no, no, no, no, no, no, no, no, 6, yes
no, no, no, no, no, no, no, no, 8, yes
no, no, no, no, no, no, no, no, 5, yes
no, no, no, no, no, no, no, no, 2, yes
no, no, no, no, no, no, no, no, 3, yes
no, no, no, no, no, no, no, yes, 9, yes
no, no, no, no, no, no, no, yes, 9, yes
no, no, no, no, no, no, no, yes, 9, yes
no, no, no, no, no, no, no, yes, 9, yes
no, no, no, no, no, no, no, yes, 9, yes
no, no, no, no, no, no, no, no, 9, yes
no, no, no, no, no, no, no, no, 10, yes
no, no, no, no, no, no, no, no, 5, yes
no, no, no, no, no, no, no, yes, 9, yes
no, no, no, no, no, no, no, no, 6, yes
no, no, no, no, no, no, no, no, 6, yes
no, no, no, no, no, no, no, no, 4, yes
no, no, no, no, no, no, no, no, 4, yes
no, no, no, no, no, no, no, no, 9, yes
no, no, no, no, no, no, no, no, 6, yes
no, no, no, no, no, no, no, no, 10, yes
no, no, no, no, no, no, no, yes, 9, yes
no, no, no, no, no, no, no, yes, 9, yes
no, no, no, no, no, no, no, yes, 9, yes
no, no, no, no, no, no, no, yes, 9, yes
no, no, no, no, no, no, no, yes, 9, yes
no, no, no, no, no, no, no, yes, 9, yes
no, no, no, no, no, no, no, yes, 9, yes
no, no, no, no, no, no, no, yes, 6, yes
no, no, no, no, no, no, no, no, 9, yes
no, no, no, no, no, no, no, no, 9, yes
no, no, no, no, no, no, no, no, 9, yes
yes, no, no, no, no, no, no, no, 6, yes
yes, no, no, no, no, no, no, no, 5, yes
yes, no, no, no, no, no, no, no, 6, yes
yes, no, no, no, no, no, no, yes, 5, yes
yes, no, no, no, no, no, no, yes, 5, yes
no, no, no, no, no, no, no, no, 5, yes
yes, no, no, no, no, no, no, yes, 10, yes
no, no, no, no, no, no, no, no, 6, yes
no, no, no, no, no, no, no, no, 3, yes
no, no, no, no, no, no, no, no, 5, yes
no, no, no, no, no, no, no, no, 4, yes
no, no, no, no, no, no, no, no, 5, yes
no, no, no, no, no, no, no, no, 7, yes
no, no, no, no, no, no, no, no, 8, yes
no, no, no, no, no, no, no, no, 6, yes
no, no, no, no, no, no, no, no, 9, yes
yes, no, no, no, no, no, no, no, 6, yes
no, no, no, no, no, no, no, no, 4, yes
no, no, no, no, no, no, no, no, 6, yes
yes, no, no, no, no, no, no, yes, 7, yes
no, no, no, no, yes, no, no, no, 7, yes
no, no, no, no, yes, no, no, no, 4, yes
no, no, no, no, yes, no, no, no, 5, yes
no, no, no, no, no, no, no, no, 5, yes
no, no, no, no, no, no, no, no, 9, yes
no, no, no, no, no, no, no, no, 9, yes
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, yes, no, no, no, 5, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, yes, 13, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 10, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 2, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 2, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, yes, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 10, no
no, no, no, no, no, no, no, no, 10, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 10, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, yes, 9, no
no, no, no, no, no, no, no, no, 2, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, yes, no, no, no, 5, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, yes, 13, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 10, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 2, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 2, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, yes, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 10, no
no, no, no, no, no, no, no, no, 10, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 10, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, yes, 9, no
no, no, no, no, no, no, no, no, 2, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, yes, no, no, no, 5, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, yes, 13, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 10, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 2, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 2, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, yes, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 10, no
no, no, no, no, no, no, no, no, 10, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 10, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, yes, 9, no
no, no, no, no, no, no, no, no, 2, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, yes, no, no, no, 5, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, yes, 13, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 10, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 2, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 2, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, yes, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 10, no
no, no, no, no, no, no, no, no, 10, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 10, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, yes, 9, no
no, no, no, no, no, no, no, no, 2, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, yes, no, no, no, 5, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, yes, 13, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 10, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 2, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 2, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, yes, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 5, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 4, no
no, no, no, no, no, no, no, no, 7, no
no, no, no, no, no, no, no, no, 3, no
no, no, no, no, no, no, no, no, 8, no
no, no, no, no, no, no, no, no, 6, no
no, no, no, no, no, no, no, no, 9, no
no, no, no, no, no, no, no, no, 6, no
